,,PID,Burst,Priority,Arrival,Start,Finish,Wait,Response,Turnaround
jim_priority-preemptive.csv,42,143,15,7,1735,1803,1817,68,68,83
jim_priority-preemptive.csv,43,144,36,1,1760,1760,1795,0,0,36
jim_priority-preemptive.csv,44,145,38,0,1855,1855,1892,0,0,38
jim_priority-preemptive.csv,45,146,12,0,1920,1920,1931,0,0,12
jim_priority-preemptive.csv,46,147,4,9,1930,1932,1972,39,2,43
jim_priority-preemptive.csv,47,148,37,5,1935,1935,1971,0,0,37
jim_priority-preemptive.csv,48,149,34,7,1990,1990,2040,17,0,51
jim_priority-preemptive.csv,49,150,17,3,2000,2000,2016,0,0,17
jim_priority.csv,0,101,7,5,70,70,76,0,0,7
jim_priority.csv,1,102,24,4,140,140,163,0,0,24
jim_priority.csv,2,103,37,8,235,235,271,0,0,37
jim_priority.csv,3,104,13,3,260,272,284,12,12,25
jim_priority.csv,4,105,3,0,305,305,307,0,0,3
jim_priority.csv,5,106,56,6,360,360,415,0,0,56
jim_priority.csv,6,107,25,1,455,455,479,0,0,25
jim_priority.csv,7,108,20,1,465,480,499,15,15,35
jim_priority.csv,8,109,15,2,510,510,524,0,0,15
jim_priority.csv,9,110,17,5,570,570,586,0,0,17
jim_priority.csv,10,111,29,7,585,587,615,2,2,31
jim_priority.csv,11,112,6,0,655,655,660,0,0,6
jim_priority.csv,12,113,14,1,675,675,688,0,0,14
jim_priority.csv,13,114,26,0,715,715,740,0,0,26
jim_priority.csv,14,115,48,9,740,741,788,1,1,49
jim_priority.csv,15,116,8,2,755,789,796,34,34,42
jim_priority.csv,16,117,28,2,775,856,883,81,81,109
jim_priority.csv,17,118,59,0,790,797,855,7,7,66
jim_priority.csv,18,119,33,9,840,884,916,44,44,77
jim_priority.csv,19,120,96,0,925,925,1020,0,0,96
jim_priority.csv,20,121,28,0,1000,1021,1048,21,21,49
jim_priority.csv,21,122,65,4,1050,1087,1151,37,37,102
jim_priority.csv,22,123,37,2,1050,1050,1086,0,0,37
jim_priority.csv,23,124,99,8,1055,1187,1285,132,132,231
jim_priority.csv,24,125,22,7,1095,1152,1173,57,57,79
jim_priority.csv,25,126,13,3,1165,1174,1186,9,9,22
jim_priority.csv,26,127,23,8,1220,1583,1605,363,363,386
jim_priority.csv,27,128,56,4,1275,1286,1341,11,11,67
jim_priority.csv,28,129,30,6,1300,1349,1378,49,49,79
jim_priority.csv,29,130,7,1,1310,1342,1348,32,32,39
jim_priority.csv,30,131,99,7,1320,1444,1542,124,124,223
jim_priority.csv,31,132,29,6,1365,1379,1407,14,14,43
jim_priority.csv,32,133,32,2,1400,1408,1439,8,8,40
jim_priority.csv,33,134,4,2,1420,1440,1443,20,20,24
jim_priority.csv,34,135,21,2,1510,1543,1563,33,33,54
jim_priority.csv,35,136,19,3,1520,1564,1582,44,44,63
jim_priority.csv,36,137,44,2,1590,1606,1649,16,16,60
jim_priority.csv,37,138,36,1,1655,1655,1690,0,0,36
jim_priority.csv,38,139,9,1,1670,1691,1699,21,21,30
jim_priority.csv,39,140,39,8,1700,1700,1738,0,0,39
jim_priority.csv,40,141,21,0,1705,1739,1759,34,34,55
jim_priority.csv,41,142,41,6,1720,1796,1836,76,76,117
jim_priority.csv,42,143,15,7,1735,1837,1851,102,102,117
jim_priority.csv,43,144,36,1,1760,1760,1795,0,0,36
jim_priority.csv,44,145,38,0,1855,1855,1892,0,0,38
jim_priority.csv,45,146,12,0,1920,1920,1931,0,0,12
jim_priority.csv,46,147,4,9,1930,1932,1935,2,2,6
jim_priority.csv,47,148,37,5,1935,1936,1972,1,1,38
jim_priority.csv,48,149,34,7,1990,1990,2023,0,0,34
jim_priority.csv,49,150,17,3,2000,2024,2040,24,24,41
jim_rr-pri.csv,0,101,7,5,70,70,76,0,0,7
jim_rr-pri.csv,1,102,24,4,140,140,163,0,0,24
jim_rr-pri.csv,2,103,37,8,235,235,271,0,0,37
jim_rr-pri.csv,3,104,13,3,260,272,284,12,12,25
jim_rr-pri.csv,4,105,3,0,305,305,307,0,0,3
jim_rr-pri.csv,5,106,56,6,360,360,415,0,0,56
jim_rr-pri.csv,6,107,25,1,455,455,499,20,0,45
jim_rr-pri.csv,7,108,20,1,465,465,494,10,0,30
jim_rr-pri.csv,8,109,15,2,510,510,524,0,0,15
jim_rr-pri.csv,9,110,17,5,570,570,586,0,0,17
jim_rr-pri.csv,10,111,29,7,585,587,615,2,2,31
jim_rr-pri.csv,11,112,6,0,655,655,660,0,0,6
jim_rr-pri.csv,12,113,14,1,675,675,688,0,0,14
jim_rr-pri.csv,13,114,26,0,715,715,740,0,0,26
jim_rr-pri.csv,14,115,48,9,740,741,788,1,1,49
jim_rr-pri.csv,15,116,8,2,755,789,796,34,34,42
jim_rr-pri.csv,16,117,28,2,775,797,883,81,22,109
jim_rr-pri.csv,17,118,59,0,790,817,875,27,27,86
jim_rr-pri.csv,18,119,33,9,840,884,916,44,44,77
jim_rr-pri.csv,19,120,96,0,925,925,1020,0,0,96
jim_rr-pri.csv,20,121,28,0,1000,1021,1048,21,21,49
jim_rr-pri.csv,21,122,65,4,1050,1050,1236,122,0,187
jim_rr-pri.csv,22,123,37,2,1050,1090,1253,167,40,204
jim_rr-pri.csv,23,124,99,8,1055,1110,1272,119,55,218
jim_rr-pri.csv,24,125,22,7,1095,1190,1211,95,95,117
jim_rr-pri.csv,25,126,13,3,1165,1273,1285,108,108,121
jim_rr-pri.csv,26,127,23,8,1220,1286,1308,66,66,89
jim_rr-pri.csv,27,128,56,4,1275,1309,1524,194,34,250
jim_rr-pri.csv,28,129,30,6,1300,1349,1378,49,49,79
jim_rr-pri.csv,29,130,7,1,1310,1379,1385,69,69,76
jim_rr-pri.csv,30,131,99,7,1320,1386,1553,135,66,234
jim_rr-pri.csv,31,132,29,6,1365,1456,1484,91,91,120
jim_rr-pri.csv,32,133,32,2,1400,1485,1565,134,85,166
jim_rr-pri.csv,33,134,4,2,1420,1505,1508,85,85,89
jim_rr-pri.csv,34,135,21,2,1510,1566,1605,75,56,96
jim_rr-pri.csv,35,136,19,3,1520,1586,1604,66,66,85
jim_rr-pri.csv,36,137,44,2,1590,1606,1649,16,16,60
jim_rr-pri.csv,37,138,36,1,1655,1655,1699,9,0,45
jim_rr-pri.csv,38,139,9,1,1670,1675,1683,5,5,14
jim_rr-pri.csv,39,140,39,8,1700,1700,1738,0,0,39
jim_rr-pri.csv,40,141,21,0,1705,1739,1759,34,34,55
jim_rr-pri.csv,41,142,41,6,1720,1760,1800,40,40,81
jim_rr-pri.csv,42,143,15,7,1735,1801,1815,66,66,81
jim_rr-pri.csv,43,144,36,1,1760,1816,1851,56,56,92
jim_rr-pri.csv,44,145,38,0,1855,1855,1892,0,0,38
jim_rr-pri.csv,45,146,12,0,1920,1920,1931,0,0,12
jim_rr-pri.csv,46,147,4,9,1930,1932,1935,2,2,6
jim_rr-pri.csv,47,148,37,5,1935,1936,1972,1,1,38
jim_rr-pri.csv,48,149,34,7,1990,1990,2023,0,0,34
jim_rr-pri.csv,49,150,17,3,2000,2024,2040,24,24,41
jim_rr.csv,0,101,7,5,70,70,76,0,0,7
jim_rr.csv,1,102,24,4,140,140,163,0,0,24
jim_rr.csv,2,103,37,8,235,235,281,10,0,47
jim_rr.csv,3,104,13,3,260,265,284,12,5,25
jim_rr.csv,4,105,3,0,305,305,307,0,0,3
jim_rr.csv,5,106,56,6,360,360,415,0,0,56
jim_rr.csv,6,107,25,1,455,455,499,20,0,45
jim_rr.csv,7,108,20,1,465,465,494,10,0,30
jim_rr.csv,8,109,15,2,510,510,524,0,0,15
jim_rr.csv,9,110,17,5,570,570,586,0,0,17
jim_rr.csv,10,111,29,7,585,587,615,2,2,31
jim_rr.csv,11,112,6,0,655,655,660,0,0,6
jim_rr.csv,12,113,14,1,675,675,688,0,0,14
jim_rr.csv,13,114,26,0,715,715,740,0,0,26
jim_rr.csv,14,115,48,9,740,741,826,39,1,87
jim_rr.csv,15,116,8,2,755,761,768,6,6,14
jim_rr.csv,16,117,28,2,775,779,834,32,4,60
jim_rr.csv,17,118,59,0,790,809,916,68,19,127
jim_rr.csv,18,119,33,9,840,845,907,35,5,68
jim_rr.csv,19,120,96,0,925,925,1040,20,0,116
jim_rr.csv,20,121,28,0,1000,1005,1048,21,5,49
jim_rr.csv,21,122,65,4,1050,1050,1246,132,0,197
jim_rr.csv,22,123,37,2,1050,1060,1176,90,10,127
jim_rr.csv,23,124,99,8,1055,1070,1345,192,15,291
jim_rr.csv,24,125,22,7,1095,1110,1188,72,15,94
jim_rr.csv,25,126,13,3,1165,1209,1241,64,44,77
jim_rr.csv,26,127,23,8,1220,1257,1309,67,37,90
jim_rr.csv,27,128,56,4,1275,1287,1474,144,12,200
jim_rr.csv,28,129,30,6,1300,1320,1405,76,20,106
jim_rr.csv,29,130,7,1,1310,1330,1336,20,20,27
jim_rr.csv,30,131,99,7,1320,1366,1615,197,46,296
jim_rr.csv,31,132,29,6,1365,1376,1468,75,11,104
jim_rr.csv,32,133,32,2,1400,1426,1546,115,26,147
jim_rr.csv,33,134,4,2,1420,1436,1439,16,16,20
jim_rr.csv,34,135,21,2,1510,1515,1576,46,5,67
jim_rr.csv,35,136,19,3,1520,1525,1565,27,5,46
