consumers,data,replicate,time
2,10,1,1.3245282173156738
2,10,2,1.4698829650878906
2,10,3,1.4918410778045654
4,10,1,1.4270098209381104
4,10,2,1.2176790237426758
4,10,3,1.3539659976959229
6,10,1,1.2960069179534912
6,10,2,1.2384388446807861
6,10,3,1.3636009693145752
8,10,1,1.3627939224243164
8,10,2,1.5517561435699463
8,10,3,1.3149611949920654
2,100,1,6.101861000061035
2,100,2,5.668159008026123
2,100,3,5.97094202041626
4,100,1,5.914252996444702
4,100,2,5.900707006454468
4,100,3,5.648346900939941
6,100,1,6.077993154525757
6,100,2,6.061769008636475
6,100,3,5.675856828689575
8,100,1,6.1709630489349365
8,100,2,6.057957172393799
8,100,3,5.526247978210449
2,1000,1,52.20104694366455
2,1000,2,50.31978797912598
2,1000,3,51.01360607147217
4,1000,1,51.757546186447144
4,1000,2,51.60069990158081
4,1000,3,50.75817394256592
6,1000,1,50.83568286895752
6,1000,2,50.90486001968384
6,1000,3,50.178492069244385
8,1000,1,52.7005410194397
8,1000,2,51.55707883834839
8,1000,3,51.31064820289612
2,10000,1,504.09227204322815
2,10000,2,499.93151807785034
2,10000,3,509.91582798957825
